image,ground_truth,drone_detected,number_of_detections,max_confidence
plane17_jpg.rf.ec69c8f0515be03b44d3d09033003333.jpg,plane,False,0,0.0
plane19_jpg.rf.d7fdb9dc210707f0c0b09518310d6c2c.jpg,plane,True,1,0.5643
plane20_jpg.rf.e4486702a01fd7a94e707e4c1edb5792.jpg,plane,False,0,0.0
plane21_jpg.rf.08064b54c93cfe3e2f02991257ef6884.jpg,plane,True,3,0.6432
plane2_jpg.rf.3c5cec58e5e49d2ae2ac10d86e75cb21.jpg,plane,True,1,0.3799
plane3_jpg.rf.6ed94da938c7115ebd87f694e5193a74.jpg,plane,False,0,0.0
plane6_jpg.rf.db583d2293e8efc75230f32992ec27c2.jpg,plane,False,0,0.0
plane7_jpg.rf.4ef11592fddc12abe67a754dd7dc793e.jpg,plane,True,1,0.7604
plane8_jpg.rf.c956a3dbb293ac1e4d249005e2721135.jpg,plane,True,1,0.6799
plane9_jpg.rf.29d3ab87a74b51ae7481829125721cfd.jpg,plane,True,1,0.4344
police-chopper-blue-sky-13073376_jpg.rf.6eb56d42918ba25ac068e6f92db3fc68.jpg,helicopter,False,0,0.0
seagull-fly-sky-260nw-160784627_jpg.rf.9a421277c87ad27c70b25b95679b5c85.jpg,bird,False,0,0.0
silhouette-bird-flying-blue-sky-260nw-1063946765_jpg.rf.43ba1a57f8f2e725942fcac237e6cdf9.jpg,bird,True,1,0.4995
single-large-bird-flying-in-sky-johan-ferret_jpg.rf.b4a1324018a66b6372926474d527638e.jpg,bird,False,0,0.0
